--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger : Sun Nov 20 22:13:55 2022 
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'svchost.exe', 'username': None, 'pid': 3868, 'vms': 2.3125}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 3916, 'vms': 42.85546875}
{'name': 'SmartByteTelemetry.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 3924, 'vms': 31.3125}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 3952, 'vms': 41.06640625}
{'name': 'svchost.exe', 'username': None, 'pid': 3964, 'vms': 1.43359375}
{'name': 'svchost.exe', 'username': None, 'pid': 3976, 'vms': 1.76171875}
{'name': 'svchost.exe', 'username': None, 'pid': 4184, 'vms': 7.10546875}
{'name': 'svchost.exe', 'username': None, 'pid': 4212, 'vms': 3.3515625}
{'name': 'python3.10.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 4268, 'vms': 11.30859375}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 4300, 'vms': 17.04296875}
{'name': 'spoolsv.exe', 'username': None, 'pid': 4344, 'vms': 8.81640625}
{'name': 'svchost.exe', 'username': None, 'pid': 4424, 'vms': 9.12890625}
{'name': 'svchost.exe', 'username': None, 'pid': 4468, 'vms': 4.9140625}
{'name': 'svchost.exe', 'username': None, 'pid': 4500, 'vms': 1.875}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 4628, 'vms': 42.48828125}
{'name': 'wlanext.exe', 'username': None, 'pid': 4644, 'vms': 1.4453125}
{'name': 'conhost.exe', 'username': None, 'pid': 4652, 'vms': 5.171875}
{'name': 'svchost.exe', 'username': None, 'pid': 4832, 'vms': 5.55859375}
{'name': 'svchost.exe', 'username': None, 'pid': 4844, 'vms': 18.8046875}
{'name': 'svchost.exe', 'username': None, 'pid': 4852, 'vms': 41.8515625}
{'name': 'OneApp.IGCC.WinService.exe', 'username': None, 'pid': 4872, 'vms': 39.0078125}
{'name': 'OfficeClickToRun.exe', 'username': None, 'pid': 4884, 'vms': 32.32421875}
{'name': 'svchost.exe', 'username': None, 'pid': 4892, 'vms': 2.94140625}
{'name': 'esif_uf.exe', 'username': None, 'pid': 4916, 'vms': 1.93359375}
{'name': 'IntelAudioService.exe', 'username': None, 'pid': 4924, 'vms': 39.765625}
{'name': 'python3.10.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 4932, 'vms': 11.40625}
{'name': 'svchost.exe', 'username': None, 'pid': 4964, 'vms': 2.99609375}
{'name': 'python3.10.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 5004, 'vms': 23.1328125}
{'name': 'mfemms.exe', 'username': None, 'pid': 5052, 'vms': 7.2421875}
{'name': 'ModuleCoreService.exe', 'username': None, 'pid': 5084, 'vms': 8.4140625}
{'name': 'conhost.exe', 'username': None, 'pid': 5092, 'vms': 5.6875}
{'name': 'nvcontainer.exe', 'username': None, 'pid': 5124, 'vms': 12.17578125}
{'name': 'PEFService.exe', 'username': None, 'pid': 5148, 'vms': 18.20703125}
{'name': 'RstMwService.exe', 'username': None, 'pid': 5156, 'vms': 2.0625}
{'name': 'GoodixSessionService.exe', 'username': None, 'pid': 5180, 'vms': 0.765625}
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 5192, 'vms': 3.90625}
{'name': 'SmartByteAnalyticsService.exe', 'username': None, 'pid': 5200, 'vms': 1.3125}
{'name': 'SmartByteNetworkService.exe', 'username': None, 'pid': 5208, 'vms': 149.69921875}
{'name': 'TbtP2pShortcutService.exe', 'username': None, 'pid': 5236, 'vms': 1.2578125}
{'name': 'WavesAudioService.exe', 'username': None, 'pid': 5252, 'vms': 12.82421875}
{'name': 'WavesSysSvc64.exe', 'username': None, 'pid': 5260, 'vms': 44.01171875}
{'name': 'WMIRegistrationService.exe', 'username': None, 'pid': 5268, 'vms': 2.6328125}
{'name': 'svchost.exe', 'username': None, 'pid': 5276, 'vms': 4.58203125}
{'name': 'SearchProtocolHost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 5380, 'vms': 1.7265625}
{'name': 'cmd.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 5384, 'vms': 2.3046875}
{'name': 'svchost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 5444, 'vms': 7.95703125}
{'name': 'svchost.exe', 'username': None, 'pid': 5476, 'vms': 2.47265625}
{'name': 'svchost.exe', 'username': None, 'pid': 5488, 'vms': 8.3515625}
{'name': 'CptHost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 5588, 'vms': 7.19921875}
{'name': 'jhi_service.exe', 'username': None, 'pid': 5984, 'vms': 1.25}
{'name': 'svchost.exe', 'username': None, 'pid': 6036, 'vms': 2.48046875}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 6132, 'vms': 156.69921875}
{'name': 'svchost.exe', 'username': None, 'pid': 6284, 'vms': 1.6015625}
{'name': 'AggregatorHost.exe', 'username': None, 'pid': 6516, 'vms': 1.328125}
{'name': 'RAPSService.exe', 'username': None, 'pid': 6548, 'vms': 14.421875}
{'name': 'MMSSHOST.exe', 'username': None, 'pid': 6636, 'vms': 42.328125}
{'name': 'DDVDataCollector.exe', 'username': None, 'pid': 6660, 'vms': 61.796875}
{'name': 'mfevtps.exe', 'username': None, 'pid': 6688, 'vms': 9.89453125}
{'name': 'RAPS.exe', 'username': None, 'pid': 6792, 'vms': 6.28515625}
{'name': 'ProtectedModuleHost.exe', 'username': None, 'pid': 6816, 'vms': 5.38671875}
{'name': 'conhost.exe', 'username': None, 'pid': 6836, 'vms': 5.69140625}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7044, 'vms': 209.640625}
{'name': 'DDVRulesProcessor.exe', 'username': None, 'pid': 7108, 'vms': 19.13671875}
{'name': 'powershell.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7220, 'vms': 50.7109375}
{'name': 'ctfmon.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7224, 'vms': 5.12890625}
{'name': 'python.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7228, 'vms': 10.17578125}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7256, 'vms': 7.71875}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7272, 'vms': 2.1484375}
{'name': 'SearchProtocolHost.exe', 'username': None, 'pid': 7280, 'vms': 2.6171875}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7328, 'vms': 119.01171875}
{'name': 'ModuleCoreService.exe', 'username': None, 'pid': 7392, 'vms': 54.7421875}
{'name': 'conhost.exe', 'username': None, 'pid': 7420, 'vms': 5.18359375}
{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 7484, 'vms': 6.87109375}
{'name': 'svchost.exe', 'username': None, 'pid': 7516, 'vms': 3.5703125}
{'name': 'python3.10.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7556, 'vms': 24.20703125}
{'name': 'igfxEMN.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7784, 'vms': 3.45703125}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7788, 'vms': 47.85546875}
{'name': 'MoNotificationUx.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 8000, 'vms': 4.046875}
{'name': 'svchost.exe', 'username': None, 'pid': 8140, 'vms': 1.84375}
{'name': 'StartMenuExperienceHost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 8244, 'vms': 35.3046875}
{'name': 'McCSPServiceHost.exe', 'username': None, 'pid': 8256, 'vms': 9.13671875}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 8412, 'vms': 11.9140625}
{'name': 'powershell.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 8504, 'vms': 50.59765625}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 8528, 'vms': 2.3359375}
{'name': 'dllhost.exe', 'username': None, 'pid': 8752, 'vms': 3.9375}
{'name': 'conhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 8840, 'vms': 5.3125}
{'name': 'DDVCollectorSvcApi.exe', 'username': None, 'pid': 8896, 'vms': 1.86328125}
{'name': 'conhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 8996, 'vms': 5.70703125}
{'name': 'conhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 9056, 'vms': 6.3515625}
{'name': 'svchost.exe', 'username': None, 'pid': 9392, 'vms': 5.41796875}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 9404, 'vms': 164.48046875}
{'name': 'conhost.exe', 'username': None, 'pid': 9540, 'vms': 5.67578125}
{'name': 'csrss.exe', 'username': None, 'pid': 9620, 'vms': 2.91015625}
{'name': 'svchost.exe', 'username': None, 'pid': 9740, 'vms': 6.5078125}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 9856, 'vms': 41.078125}
{'name': 'svchost.exe', 'username': None, 'pid': 9876, 'vms': 2.05078125}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 9964, 'vms': 114.3671875}
{'name': 'svchost.exe', 'username': None, 'pid': 10096, 'vms': 14.265625}
{'name': 'svchost.exe', 'username': None, 'pid': 10144, 'vms': 2.8046875}
{'name': 'Microsoft.Notes.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 10320, 'vms': 59.7578125}
{'name': 'svchost.exe', 'username': None, 'pid': 10508, 'vms': 3.78125}
{'name': 'Widgets.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 10580, 'vms': 8.125}
{'name': 'svchost.exe', 'username': None, 'pid': 10804, 'vms': 3.0390625}
{'name': 'conhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 10932, 'vms': 1.26953125}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 10980, 'vms': 6.09765625}
{'name': 'mcapexe.exe', 'username': None, 'pid': 11144, 'vms': 3.30078125}
{'name': 'SecurityHealthSystray.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 11224, 'vms': 1.734375}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 11244, 'vms': 10.48828125}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 11284, 'vms': 108.99609375}
{'name': 'dllhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 11484, 'vms': 6.31640625}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 11508, 'vms': 67.90625}
{'name': 'mcshield.exe', 'username': None, 'pid': 11540, 'vms': 90.1875}
{'name': 'audiodg.exe', 'username': None, 'pid': 11720, 'vms': 242.9921875}
{'name': 'Dell.D3.WinSvc.exe', 'username': None, 'pid': 11848, 'vms': 128.30078125}
{'name': 'SystemSettings.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 11876, 'vms': 61.37109375}
{'name': 'svchost.exe', 'username': None, 'pid': 12136, 'vms': 6.765625}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 12228, 'vms': 36.59375}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 12308, 'vms': 62.6796875}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 12708, 'vms': 30.5859375}
{'name': 'uihost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 12864, 'vms': 13.953125}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 12904, 'vms': 99.13671875}
{'name': 'ServiceShell.exe', 'username': None, 'pid': 13012, 'vms': 71.1328125}
{'name': 'cmd.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 13048, 'vms': 2.1015625}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 13084, 'vms': 61.6796875}
{'name': 'MoUsoCoreWorker.exe', 'username': None, 'pid': 13120, 'vms': 15.69921875}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 13128, 'vms': 57.71484375}
{'name': 'svchost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 13152, 'vms': 3.68359375}
{'name': 'svchost.exe', 'username': None, 'pid': 13256, 'vms': 3.38671875}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 13336, 'vms': 17.20703125}
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 13564, 'vms': 1.8671875}
{'name': 'dllhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 14016, 'vms': 2.671875}
{'name': 'servicehost.exe', 'username': None, 'pid': 14080, 'vms': 22.43359375}
{'name': 'MfeAVSvc.exe', 'username': None, 'pid': 14184, 'vms': 70.546875}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 14404, 'vms': 11.24609375}
{'name': 'svchost.exe', 'username': None, 'pid': 14412, 'vms': 2.75390625}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 14472, 'vms': 50.66015625}
{'name': 'svchost.exe', 'username': None, 'pid': 14568, 'vms': 20.04296875}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 14600, 'vms': 107.453125}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 14684, 'vms': 10.56640625}
{'name': 'NVDisplay.Container.exe', 'username': None, 'pid': 14760, 'vms': 35.828125}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 14804, 'vms': 156.203125}
{'name': 'svchost.exe', 'username': None, 'pid': 14956, 'vms': 1.23046875}
{'name': 'svchost.exe', 'username': None, 'pid': 14988, 'vms': 1.73046875}
{'name': 'Dell.TechHub.Diagnostics.SubAgent.exe', 'username': None, 'pid': 15052, 'vms': 90.2265625}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 15092, 'vms': 12.15625}
{'name': 'conhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 15116, 'vms': 5.71484375}
{'name': 'TextInputHost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 15188, 'vms': 81.86328125}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 15344, 'vms': 61.859375}
{'name': 'svchost.exe', 'username': None, 'pid': 15352, 'vms': 1.6796875}
{'name': 'ModuleCoreService.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 15376, 'vms': 10.7734375}
{'name': 'FusionService.exe', 'username': None, 'pid': 15400, 'vms': 40.9921875}
{'name': 'conhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 15504, 'vms': 5.32421875}
{'name': 'DellSupportAssistRemedationService.exe', 'username': None, 'pid': 15572, 'vms': 94.3359375}
{'name': 'svchost.exe', 'username': None, 'pid': 15604, 'vms': 11.24609375}
{'name': 'svchost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 15648, 'vms': 5.32421875}
{'name': 'svchost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 15704, 'vms': 3.2109375}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 15836, 'vms': 8.1015625}
{'name': 'svchost.exe', 'username': None, 'pid': 15916, 'vms': 3.7265625}
{'name': 'conhost.exe', 'username': None, 'pid': 16260, 'vms': 5.68359375}
{'name': 'dllhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 16304, 'vms': 2.7734375}
{'name': 'PhoneExperienceHost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 16668, 'vms': 76.24609375}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 16736, 'vms': 8.90234375}
{'name': 'sihost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 16800, 'vms': 7.515625}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 17036, 'vms': 1.765625}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 17072, 'vms': 27.78515625}
{'name': 'RtkAudUService64.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 17148, 'vms': 4.01171875}
{'name': 'cmd.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 17184, 'vms': 3.4296875}
{'name': 'python3.10.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 17340, 'vms': 22.98046875}
{'name': 'ApplicationFrameHost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 17508, 'vms': 26.54296875}
{'name': 'Dell.DCF.UA.Bradbury.API.SubAgent.exe', 'username': None, 'pid': 17624, 'vms': 53.72265625}
{'name': 'Dell.TechHub.exe', 'username': None, 'pid': 17628, 'vms': 40.58203125}
{'name': 'Dell.TechHub.Instrumentation.UserSessionAgent.exe', 'username': None, 'pid': 17640, 'vms': 39.04296875}
{'name': 'conhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 17988, 'vms': 1.27734375}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 18072, 'vms': 38.7265625}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 18144, 'vms': 24.859375}
{'name': 'Dell.TechHub.DataManager.SubAgent.exe', 'username': None, 'pid': 18228, 'vms': 65.79296875}
{'name': 'explorer.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 18484, 'vms': 239.796875}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 18684, 'vms': 7.36328125}
{'name': 'svchost.exe', 'username': None, 'pid': 18716, 'vms': 2.828125}
{'name': 'OneDrive.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 18744, 'vms': 18.046875}
{'name': 'svchost.exe', 'username': None, 'pid': 18768, 'vms': 1.66015625}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 18900, 'vms': 5.27734375}
{'name': 'svchost.exe', 'username': None, 'pid': 19084, 'vms': 5.67578125}
{'name': 'winlogon.exe', 'username': None, 'pid': 19704, 'vms': 2.65625}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 19752, 'vms': 10.9765625}
{'name': 'conhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 19792, 'vms': 5.32421875}
{'name': 'svchost.exe', 'username': None, 'pid': 19896, 'vms': 2.15625}
{'name': 'svchost.exe', 'username': None, 'pid': 19908, 'vms': 2.49609375}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 20032, 'vms': 58.71875}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 20112, 'vms': 8.0859375}
{'name': 'DellMobileConnect.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 20128, 'vms': 29.17578125}
{'name': 'svchost.exe', 'username': None, 'pid': 20220, 'vms': 6.50390625}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 20256, 'vms': 119.31640625}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 20424, 'vms': 2.05859375}
{'name': 'svchost.exe', 'username': None, 'pid': 20460, 'vms': 1.5}
{'name': 'python3.10.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 20616, 'vms': 11.375}
{'name': 'dptf_helper.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 20708, 'vms': 1.453125}
{'name': 'LockApp.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 20780, 'vms': 23.375}
{'name': 'ShellExperienceHost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 20840, 'vms': 51.8671875}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 21048, 'vms': 449.578125}
{'name': 'taskhostw.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 21092, 'vms': 6.5546875}
{'name': 'browserhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 21180, 'vms': 5.2109375}
{'name': 'svchost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 21228, 'vms': 9.2734375}
{'name': 'Video.UI.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 21432, 'vms': 26.67578125}
{'name': 'svchost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 21668, 'vms': 2.16796875}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 21856, 'vms': 18.57421875}
